RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
47,15799746,Customer_47,850,France,Female,50,4,0.0,1,1,1,45453.0,0
48,15700489,Customer_48,547,Germany,Male,36,3,165240.07,2,1,1,159661.78,0
49,15709923,Customer_49,680,Germany,Female,19,5,0.0,2,1,0,128655.35,0
50,15726787,Customer_50,696,France,Male,72,2,0.0,1,1,1,107261.27,1
51,15703269,Customer_51,640,Spain,Male,28,2,0.0,2,1,0,186526.48,0
52,15613050,Customer_52,793,Spain,Female,34,4,91014.59,2,0,0,121175.08,0
53,15745503,Customer_53,675,Spain,Male,59,10,31184.5,2,1,0,171739.86,0
54,15594951,Customer_54,737,Spain,Male,78,4,0.0,1,1,1,165535.4,0
55,15643343,Customer_55,586,Germany,Male,20,8,61317.85,4,1,1,134433.8,0
56,15679926,Customer_56,525,Spain,Female,52,3,0.0,1,1,0,98075.61,1
57,15633446,Customer_57,631,France,Male,83,4,32992.36,2,1,1,19640.81,0
58,15594434,Customer_58,629,France,Male,18,8,0.0,1,1,1,30807.61,0
59,15602744,Customer_59,614,France,Female,24,3,236561.78,1,1,0,106563.06,0
60,15726605,Customer_60,678,France,Female,37,2,183449.13,2,0,1,66446.49,0
61,15729108,Customer_61,603,France,Male,60,6,61488.35,2,0,0,41577.11,0
62,15650511,Customer_62,606,France,Male,23,6,243073.13,2,1,1,193410.45,0
63,15764853,Customer_63,794,Spain,Male,72,7,83700.86,1,1,0,171717.46,0
64,15630085,Customer_64,553,France,Male,38,3,0.0,2,1,1,86060.19,0
65,15800965,Customer_65,783,France,Female,68,3,129548.08,1,1,1,174212.84,0
66,15579086,Customer_66,735,Germany,Female,63,8,247772.5,1,1,0,11902.8,0
67,15647923,Customer_67,764,France,Male,52,9,26533.94,2,1,0,19855.17,0
68,15656155,Customer_68,764,Spain,Female,25,6,177214.79,1,1,0,189601.14,0
69,15625292,Customer_69,638,France,Male,85,2,96863.41,1,0,0,137758.24,0
70,15808782,Customer_70,581,Spain,Female,33,8,28798.08,2,1,1,152859.18,0
71,15620695,Customer_71,618,Spain,Female,84,4,234407.6,2,1,1,166573.76,0
72,15732341,Customer_72,649,France,Male,88,3,151566.0,2,1,0,10655.33,0
73,15713349,Customer_73,532,France,Male,81,0,190844.32,2,1,0,143561.42,0
74,15799649,Customer_74,690,Spain,Male,19,8,67692.5,1,0,0,71364.79,0
75,15614363,Customer_75,608,Germany,Male,18,5,192769.82,1,0,0,163596.11,0
76,15726845,Customer_76,668,Germany,Female,75,10,208834.11,2,0,1,77541.98,0
77,15778985,Customer_77,630,Spain,Female,18,1,113399.06,1,0,0,153519.77,0
78,15783365,Customer_78,742,France,Male,24,6,147269.55,2,1,0,180252.54,0
79,15603216,Customer_79,703,France,Female,86,2,0.0,1,1,0,67863.22,1
80,15812671,Customer_80,588,France,Female,35,5,213215.11,2,0,0,93875.62,0
81,15744102,Customer_81,658,Spain,Male,49,7,116764.01,1,1,0,107486.18,1
82,15591432,Customer_82,432,Germany,Male,62,2,0.0,1,1,0,137566.93,1
83,15723761,Customer_83,605,France,Female,50,4,198215.55,2,0,0,168816.5,0
84,15776525,Customer_84,677,France,Male,91,5,0.0,1,0,1,42085.56,1
85,15811003,Customer_85,553,France,Male,90,0,0.0,2,1,0,189121.33,1
86,15652194,Customer_86,726,France,Female,66,9,246286.87,2,1,1,157113.0,0
87,15567245,Customer_87,520,Germany,Female,50,6,237323.36,2,1,0,27915.79,0
88,15730995,Customer_88,680,Germany,Male,88,3,0.0,1,1,0,67173.12,0
89,15581939,Customer_89,634,Spain,Female,85,9,35491.38,2,1,0,50279.37,0
90,15795975,Customer_90,759,France,Male,45,10,248569.95,2,1,0,31813.02,0
91,15786150,Customer_91,594,France,Male,70,6,0.0,2,1,0,128945.94,1
92,15799604,Customer_92,632,Germany,Female,61,6,0.0,2,0,1,13169.1,1
93,15801795,Customer_93,782,Spain,Female,72,10,171824.49,2,0,0,119754.3,0
94,15811135,Customer_94,784,Germany,Male,27,4,215565.65,2,0,0,165538.24,0
95,15766346,Customer_95,459,Spain,Male,31,7,36958.66,1,0,1,72383.58,0
96,15777964,Customer_96,502,France,Male,53,7,0.0,4,0,1,97936.97,1
97,15717932,Customer_97,790,Germany,Female,51,4,230849.03,1,1,1,28837.36,0
98,15782589,Customer_98,766,France,Male,35,4,13231.46,3,0,0,144079.72,1
99,15620659,Customer_99,731,France,Female,33,6,226076.59,1,0,1,181743.44,0
100,15691161,Customer_100,639,France,Male,54,5,237236.3,1,1,1,146550.04,1
101,15599898,Customer_101,647,France,Female,58,3,19046.03,2,1,0,24607.76,0
102,15599011,Customer_102,503,Germany,Male,42,1,80599.92,1,0,1,69097.06,1
103,15793408,Customer_103,606,France,Female,25,7,99545.8,1,1,1,34648.15,1
104,15782514,Customer_104,739,Germany,Male,35,2,0.0,2,1,1,117887.33,0
105,15735209,Customer_105,638,Spain,Male,85,1,192160.78,2,1,0,144498.59,0
106,15600116,Customer_106,742,France,Male,65,9,95945.07,1,1,1,195055.72,0
107,15810726,Customer_107,755,France,Male,87,6,239578.91,1,0,0,100585.42,0
108,15743676,Customer_108,745,Spain,Female,84,9,248798.23,1,1,1,127454.66,0
109,15712286,Customer_109,695,France,Female,35,5,86036.53,1,0,0,21324.51,0
110,15650269,Customer_110,623,France,Female,35,7,0.0,2,1,1,31059.31,0
111,15657696,Customer_111,673,France,Female,73,5,143849.4,1,0,1,46346.08,0
112,15638164,Customer_112,551,France,Female,40,6,149056.68,1,1,1,10876.6,0
113,15735375,Customer_113,487,Spain,Male,52,1,0.0,2,1,0,81639.02,0
114,15803100,Customer_114,670,Spain,Female,23,9,49838.44,2,1,0,190231.5,0
115,15614716,Customer_115,590,Germany,Female,43,1,23094.53,2,1,1,130582.71,0
116,15592718,Customer_116,581,Spain,Female,78,5,35523.68,1,1,0,87209.87,0
117,15688506,Customer_117,633,Spain,Female,32,8,226309.9,2,0,1,98778.09,0
118,15740019,Customer_118,737,France,Male,49,2,77290.0,2,1,1,29333.83,0
119,15586355,Customer_119,766,Spain,Male,29,10,28437.52,2,1,0,19357.88,0
120,15568221,Customer_120,556,Germany,Male,22,9,0.0,1,1,0,51812.58,1
121,15749314,Customer_121,846,Spain,Male,81,7,28073.72,4,0,0,61304.82,0
122,15706321,Customer_122,690,Spain,Female,88,4,0.0,2,1,0,24578.78,0
123,15693778,Customer_123,705,France,Female,44,5,159176.92,2,0,1,138279.71,0
124,15697999,Customer_124,551,France,Male,62,5,151934.86,2,1,0,184629.22,0
125,15660723,Customer_125,644,France,Male,52,10,19954.55,1,1,0,34885.35,0
126,15583764,Customer_126,640,France,Female,43,9,120514.68,1,1,1,167621.42,1
127,15760064,Customer_127,474,Spain,Female,40,10,114584.39,2,1,0,59670.62,0
128,15631062,Customer_128,646,Spain,Male,30,2,0.0,1,1,1,121379.6,0
129,15689579,Customer_129,729,France,Male,20,10,187082.73,1,1,0,17749.6,0
130,15810482,Customer_130,597,Germany,Male,46,10,77872.01,1,1,0,47866.91,0
131,15717219,Customer_131,574,France,Male,83,4,0.0,2,1,0,31624.46,0
132,15663930,Customer_132,756,France,Female,81,0,200258.24,2,1,0,32264.09,0
133,15658371,Customer_133,669,France,Female,45,1,0.0,1,1,1,186686.91,0
134,15655800,Customer_134,643,France,Female,53,9,223917.51,2,1,1,72773.24,1
135,15806111,Customer_135,666,Spain,Male,23,2,124631.43,1,1,1,39224.71,0
136,15600142,Customer_136,707,France,Female,28,3,135007.79,2,1,0,34266.91,0
137,15618084,Customer_137,737,Germany,Female,55,8,0.0,1,1,1,134584.67,1
138,15619231,Customer_138,750,Germany,Male,51,0,218491.74,2,1,0,143695.49,0
139,15798030,Customer_139,692,France,Male,84,2,211585.48,1,1,1,195944.34,1
140,15773783,Customer_140,779,Spain,Male,63,2,84767.81,1,0,0,125215.44,0
141,15571482,Customer_141,467,Spain,Male,46,5,49083.93,1,1,0,91764.04,0
142,15806501,Customer_142,759,France,Male,77,4,100953.89,1,1,1,44836.76,0
143,15660429,Customer_143,629,France,Male,71,2,79217.53,2,1,1,7877.74,0
144,15655067,Customer_144,534,France,Female,86,3,238187.37,1,1,1,176152.15,0
145,15804388,Customer_145,755,France,Female,91,10,73819.76,1,1,1,157767.5,0
146,15589857,Customer_146,654,France,Female,91,6,53489.6,1,1,1,159229.72,0
147,15625679,Customer_147,743,Germany,Female,26,2,225874.98,1,1,1,64415.9,0
148,15645545,Customer_148,625,Germany,Female,27,8,0.0,2,0,1,71523.01,0
149,15804341,Customer_149,686,France,Female,85,7,72463.85,1,1,1,156725.88,0
150,15800222,Customer_150,634,France,Male,75,1,115386.69,1,1,1,137511.63,0
151,15638319,Customer_151,653,Spain,Male,69,4,152825.77,1,0,1,129920.58,0
152,15789238,Customer_152,593,France,Male,51,3,0.0,1,1,1,110939.91,0
153,15634166,Customer_153,532,France,Female,52,4,129096.16,1,1,0,73677.16,0
154,15762409,Customer_154,547,France,Female,50,2,57719.48,2,0,1,148249.44,0
155,15710074,Customer_155,673,Spain,Male,89,9,147825.79,1,1,0,72186.27,1
156,15586369,Customer_156,595,France,Male,49,10,107876.03,2,1,1,146938.04,0
157,15723965,Customer_157,704,Germany,Male,72,0,0.0,2,1,1,38093.1,1
158,15602540,Customer_158,636,Spain,Male,25,7,109776.19,1,1,1,118091.93,0
159,15778571,Customer_159,602,France,Male,63,8,116515.7,2,0,0,71469.05,1
160,15755091,Customer_160,825,Germany,Female,31,7,152122.0,2,0,1,165711.31,0
161,15602115,Customer_161,589,France,Female,25,3,39560.8,2,1,0,103740.6,1
162,15806910,Customer_162,667,Germany,Female,88,1,47630.84,2,1,0,124802.65,0
163,15646939,Customer_163,824,Germany,Male,71,3,199657.06,1,1,1,16661.42,0
164,15610232,Customer_164,743,Germany,Female,38,8,75620.51,1,1,1,99050.1,0
165,15601830,Customer_165,681,France,Male,31,9,0.0,2,1,1,156143.03,0
166,15696243,Customer_166,581,Spain,Female,19,8,0.0,1,0,1,171992.54,0
167,15664581,Customer_167,446,France,Male,78,4,207243.2,1,1,0,144231.74,1
168,15581764,Customer_168,390,France,Male,34,4,247174.75,2,0,0,83718.24,0
169,15802124,Customer_169,611,France,Female,65,9,99685.83,2,1,1,51501.91,0
170,15748792,Customer_170,822,Germany,Female,25,2,0.0,1,1,1,77834.42,0
171,15774238,Customer_171,573,Germany,Female,73,5,116250.88,1,1,1,112320.7,1
172,15583951,Customer_172,548,France,Female,34,6,224605.06,1,0,1,1171.59,1
173,15574643,Customer_173,626,Germany,Female,86,9,12384.17,1,0,1,182395.65,1
174,15770358,Customer_174,663,France,Male,29,8,166830.24,2,1,1,68748.6,0
175,15624273,Customer_175,677,Germany,Female,55,6,166568.39,3,1,0,159357.78,0
176,15802874,Customer_176,765,France,Female,35,2,101772.4,2,1,0,106896.46,1
177,15657463,Customer_177,562,Germany,Male,43,6,62640.07,1,1,1,132436.69,0
178,15681475,Customer_178,777,France,Female,54,0,0.0,2,0,1,151896.6,0
179,15699699,Customer_179,715,Spain,Male,87,1,202111.39,2,1,1,57588.06,0
180,15697764,Customer_180,590,France,Female,58,3,25864.74,2,0,0,121216.62,0
181,15586193,Customer_181,558,France,Female,59,6,0.0,2,1,0,150326.31,0
182,15763763,Customer_182,517,France,Male,58,8,83641.74,2,1,0,154182.14,0
183,15797430,Customer_183,766,Spain,Female,64,4,0.0,2,1,1,83204.29,0
184,15782347,Customer_184,619,Spain,Female,31,7,131377.04,1,1,1,145700.69,0
185,15669688,Customer_185,618,France,Female,18,6,225486.76,2,1,0,60385.85,0
186,15726977,Customer_186,674,Germany,Female,34,4,158342.06,2,1,1,24862.43,0
187,15671849,Customer_187,538,Spain,Male,72,2,0.0,2,1,0,22593.58,0
188,15754234,Customer_188,802,Germany,Male,70,2,154164.11,2,0,1,101142.36,0
189,15650011,Customer_189,682,Germany,Female,48,5,0.0,2,1,0,76656.28,0
190,15662184,Customer_190,680,France,Female,79,9,113777.84,2,1,1,46496.87,0
191,15733856,Customer_191,640,France,Male,25,10,0.0,1,1,0,78239.81,1
192,15710588,Customer_192,512,Spain,Male,47,3,130465.36,2,1,0,82372.38,0
193,15622728,Customer_193,755,Spain,Female,83,2,0.0,2,0,0,110715.64,0
194,15647048,Customer_194,850,Germany,Male,62,3,0.0,2,1,1,11594.74,0
195,15592284,Customer_195,565,France,Male,35,2,0.0,1,0,0,181598.44,1
196,15727233,Customer_196,557,France,Male,62,9,65497.22,2,1,0,74444.7,0
197,15604157,Customer_197,564,Germany,Male,36,10,27720.39,2,1,0,123075.66,0
198,15776196,Customer_198,576,Spain,Female,85,10,0.0,2,1,1,61285.81,1
199,15787482,Customer_199,796,Spain,Male,67,5,79426.06,2,1,0,152332.22,0
200,15603007,Customer_200,548,Spain,Female,42,6,103407.51,2,1,0,91742.16,0
201,15646192,Customer_201,850,Germany,Female,55,3,0.0,2,1,0,64364.46,0
202,15789310,Customer_202,837,France,Male,53,2,145947.36,1,0,1,192754.79,0
203,15741244,Customer_203,730,France,Female,85,2,33298.74,2,1,1,173036.44,0
204,15682302,Customer_204,709,Spain,Female,73,10,0.0,3,1,0,36073.87,0
205,15795725,Customer_205,738,Germany,Male,56,2,71471.34,1,1,1,140126.21,0
206,15706221,Customer_206,596,France,Male,80,8,142649.4,1,1,0,150860.97,0
207,15649484,Customer_207,535,France,Male,24,10,132395.55,2,1,0,6922.29,0
208,15767169,Customer_208,663,Germany,Female,75,10,0.0,1,1,1,192185.97,0
209,15803270,Customer_209,515,France,Female,76,2,37785.05,1,1,0,46601.6,0
210,15585889,Customer_210,576,France,Female,65,2,60702.79,2,1,0,181669.04,1
211,15726937,Customer_211,728,Germany,Female,22,7,33361.07,3,1,1,130813.19,0
212,15809558,Customer_212,692,Germany,Male,53,3,0.0,1,1,0,102423.68,1
213,15624405,Customer_213,791,Germany,Female,42,6,0.0,2,1,0,157164.15,0
214,15663441,Customer_214,621,France,Male,62,2,106502.14,2,1,1,135004.17,0
215,15694936,Customer_215,827,Germany,Male,36,7,217333.21,2,1,0,148047.06,1
216,15569243,Customer_216,584,France,Male,24,2,141802.65,1,0,0,171576.36,0
217,15698194,Customer_217,742,France,Male,75,4,169979.94,1,1,0,94238.95,0
218,15771539,Customer_218,667,Germany,Female,83,0,0.0,1,1,0,85149.31,0
219,15727221,Customer_219,761,Germany,Male,56,4,75953.41,2,0,0,179949.96,0
220,15738631,Customer_220,577,Spain,Female,35,5,0.0,2,1,0,159567.56,0
221,15714073,Customer_221,739,Germany,Male,18,6,221474.42,1,1,1,3860.27,1
222,15661806,Customer_222,698,Germany,Male,80,1,20293.13,1,0,1,130762.79,1
223,15785408,Customer_223,565,France,Male,20,1,131660.79,1,1,0,180775.23,0
224,15590193,Customer_224,850,France,Female,38,8,22242.93,2,0,1,136715.18,0
225,15652989,Customer_225,639,France,Male,47,9,119637.44,2,1,0,110689.16,0
226,15585149,Customer_226,736,France,Male,28,0,160928.36,2,0,1,35186.27,0
227,15798814,Customer_227,713,Spain,Male,39,1,0.0,1,0,1,190109.03,1
228,15697531,Customer_228,529,France,Male,74,1,43247.68,2,0,1,125269.54,1
229,15789691,Customer_229,750,Spain,Female,20,9,0.0,2,0,0,20214.89,0
230,15582542,Customer_230,533,Germany,Female,47,6,122815.58,2,1,0,185522.72,0
231,15672148,Customer_231,610,Spain,Male,62,5,249528.75,1,1,0,103322.78,0
232,15795312,Customer_232,686,Germany,Male,53,8,95451.24,2,0,1,31453.61,1
233,15664306,Customer_233,657,Germany,Female,89,10,112606.58,1,1,1,45314.0,0
234,15648071,Customer_234,715,France,Female,81,6,113787.22,1,1,0,193555.37,0
235,15583764,Customer_235,419,France,Female,71,2,29368.2,1,1,0,87329.87,0
236,15566683,Customer_236,509,Germany,Male,85,2,0.0,1,0,0,83938.39,0
237,15752607,Customer_237,720,France,Female,67,0,70744.37,1,1,1,97235.93,0
238,15779477,Customer_238,635,France,Male,48,7,178880.09,2,1,1,140102.28,0
239,15805973,Customer_239,688,Germany,Female,46,0,0.0,1,1,0,73008.64,0
240,15729253,Customer_240,695,France,Female,76,10,156827.14,1,1,0,84212.09,0
241,15654989,Customer_241,554,Spain,Male,53,1,22953.19,1,0,0,149220.99,1
242,15692488,Customer_242,523,Spain,Female,90,10,223591.76,2,1,0,92242.13,0
243,15651978,Customer_243,731,Spain,Male,84,6,68525.62,1,1,1,142712.43,0
244,15657688,Customer_244,583,France,Female,28,0,0.0,2,1,1,192436.71,0
245,15614540,Customer_245,676,France,Male,28,3,201524.59,1,0,1,192498.22,0
246,15754182,Customer_246,643,Spain,Female,43,8,0.0,1,1,0,89404.34,1
247,15747577,Customer_247,542,France,Female,70,7,90960.17,2,0,1,46851.41,0
248,15723001,Customer_248,605,Spain,Male,31,10,244696.81,1,1,0,50253.32,0
249,15807503,Customer_249,757,Spain,Male,81,7,0.0,2,0,1,163840.33,1
250,15805170,Customer_250,675,Spain,Male,27,2,237678.96,2,1,0,15954.08,0
251,15752328,Customer_251,623,France,Male,48,4,0.0,2,0,1,8093.63,1
252,15733427,Customer_252,697,France,Female,53,3,0.0,1,1,1,136281.97,0
253,15646102,Customer_253,794,Spain,Female,27,10,43238.94,2,1,1,182016.86,0
254,15649622,Customer_254,655,France,Female,43,7,10537.71,2,1,1,46167.8,0
255,15569878,Customer_255,850,France,Female,37,10,72462.05,1,1,1,10925.67,0
256,15727807,Customer_256,690,Germany,Female,61,6,0.0,1,1,1,179052.0,0
257,15695795,Customer_257,628,Spain,Female,79,6,246722.93,1,1,0,70836.83,1
258,15708840,Customer_258,694,Germany,Male,90,9,0.0,1,0,0,109945.25,1
259,15627458,Customer_259,850,Germany,Female,26,9,10889.15,2,1,1,167245.09,0
260,15756603,Customer_260,795,France,Female,88,6,63675.18,2,0,0,50007.46,0
261,15590615,Customer_261,516,Germany,Male,41,0,0.0,1,1,0,120244.42,1
262,15610483,Customer_262,507,Spain,Female,29,6,105652.51,1,1,0,198294.6,0
263,15608137,Customer_263,629,France,Female,77,3,0.0,1,1,1,148259.34,1
264,15614756,Customer_264,850,Germany,Female,33,2,131166.59,1,1,1,79472.11,0
265,15758782,Customer_265,673,Spain,Male,46,4,166876.34,1,0,1,153600.58,0
266,15723692,Customer_266,585,Germany,Male,49,1,153288.98,1,1,0,4365.72,0
267,15705017,Customer_267,850,Germany,Female,52,7,163160.54,1,1,0,43075.45,1
268,15699849,Customer_268,757,Germany,Male,60,8,65223.72,2,1,0,148933.04,1
269,15633647,Customer_269,624,France,Female,70,4,99589.47,2,1,0,52453.77,0
270,15795042,Customer_270,595,France,Female,37,2,0.0,2,1,0,25231.89,0
271,15571050,Customer_271,755,Spain,Female,25,9,151032.76,2,1,1,58666.81,0
272,15720753,Customer_272,558,Spain,Male,59,6,120222.03,1,0,1,34275.27,0
273,15777395,Customer_273,603,Spain,Female,87,0,0.0,2,1,1,84132.73,1
274,15649620,Customer_274,667,Spain,Female,33,9,59531.79,1,1,0,24917.36,0
275,15724093,Customer_275,605,Germany,Female,86,2,114834.91,2,1,0,167536.36,1
276,15749712,Customer_276,563,Germany,Female,70,8,0.0,1,1,1,155991.78,0
277,15709254,Customer_277,690,Spain,Female,62,1,157355.01,1,1,0,61400.18,0
278,15670933,Customer_278,669,Germany,Male,68,10,213527.26,1,1,1,103987.04,0
279,15571425,Customer_279,677,Germany,Female,23,8,193706.38,1,1,1,171002.21,0
280,15667056,Customer_280,453,Spain,Male,50,10,0.0,1,1,0,185798.25,0
281,15684762,Customer_281,764,Spain,Female,32,0,243214.19,1,1,1,18227.28,0
282,15791501,Customer_282,461,France,Male,31,3,0.0,2,1,1,144401.91,0
283,15626004,Customer_283,682,France,Female,56,9,78833.46,1,0,0,27100.87,1
284,15661407,Customer_284,850,France,Female,80,5,62622.73,1,0,1,4017.94,0
285,15658729,Customer_285,742,Germany,Male,22,6,0.0,2,1,1,15798.98,0
286,15801741,Customer_286,622,France,Male,69,2,0.0,1,1,1,115176.62,1
287,15567254,Customer_287,600,France,Female,33,8,0.0,2,1,1,75427.55,0
288,15569609,Customer_288,640,Germany,Male,55,3,0.0,2,1,1,23744.32,1
289,15575632,Customer_289,767,France,Male,70,4,0.0,3,0,1,94867.87,0
290,15611536,Customer_290,712,Germany,Female,70,7,102620.31,1,0,0,101648.1,0
291,15767981,Customer_291,654,France,Female,63,2,175815.73,1,0,1,157475.53,0
292,15668705,Customer_292,754,France,Female,32,7,199156.71,2,1,0,132731.3,0
293,15707090,Customer_293,521,Spain,Female,76,10,0.0,1,1,0,93196.01,0
294,15800656,Customer_294,592,France,Female,67,0,207107.29,1,1,1,64872.65,0
295,15608516,Customer_295,601,France,Male,26,7,0.0,1,1,1,413.25,0
296,15732562,Customer_296,762,Germany,Female,43,10,170236.82,2,0,0,166404.04,1
297,15640824,Customer_297,677,Spain,Male,20,10,0.0,1,1,0,53403.56,0
298,15695943,Customer_298,850,France,Female,64,9,0.0,2,1,0,42651.22,0
299,15588043,Customer_299,733,Germany,Female,22,7,210816.24,1,1,0,146917.71,1
300,15638015,Customer_300,581,France,Male,79,5,94154.19,2,0,0,14340.07,0
301,15742274,Customer_301,747,France,Female,22,4,81161.92,1,1,0,52530.28,0
302,15690681,Customer_302,581,Germany,Male,27,8,92489.73,1,0,1,87014.95,0
303,15686856,Customer_303,608,Germany,Male,80,5,142308.02,1,1,1,88319.7,1
304,15770310,Customer_304,642,Germany,Male,42,0,22586.53,1,1,0,31578.14,1
305,15760688,Customer_305,683,Germany,Female,61,5,196953.0,1,0,1,8034.99,1
306,15683942,Customer_306,672,Spain,Female,42,0,0.0,1,1,1,94109.36,0
307,15675440,Customer_307,671,Germany,Female,47,5,0.0,2,0,1,71497.57,1
308,15688365,Customer_308,552,France,Female,31,2,57438.19,2,1,0,56976.01,0
309,15689115,Customer_309,649,Spain,Female,60,5,148462.58,2,0,1,54132.18,1
310,15642341,Customer_310,681,France,Female,45,5,78536.41,3,1,0,100837.31,0
311,15621929,Customer_311,736,France,Male,36,0,0.0,2,0,1,4344.24,0
312,15706138,Customer_312,603,France,Female,59,8,233595.79,1,1,0,21226.02,0
313,15765936,Customer_313,374,France,Female,37,7,213328.52,2,0,0,65046.19,0
314,15814777,Customer_314,762,Spain,Female,28,1,214525.73,2,1,1,95965.3,0
315,15605279,Customer_315,706,Spain,Female,71,1,148634.04,2,0,1,138763.78,0
316,15681985,Customer_316,516,Germany,Male,41,4,217951.88,2,1,0,58627.38,0
317,15648032,Customer_317,502,France,Male,87,9,196855.8,2,1,1,133407.83,0
318,15771827,Customer_318,716,France,Male,34,1,238776.83,2,0,1,77434.2,0
319,15798860,Customer_319,619,France,Male,45,10,25448.42,2,1,0,154940.88,0
320,15577416,Customer_320,507,France,Male,67,0,0.0,2,1,0,96126.17,0
321,15652185,Customer_321,543,Germany,Female,72,1,52007.19,1,1,1,108279.32,0
322,15785751,Customer_322,635,Germany,Male,90,4,232980.36,2,1,1,87017.33,0
323,15647403,Customer_323,574,Germany,Male,27,10,155335.63,2,1,1,26587.59,0
324,15675389,Customer_324,600,France,Female,38,9,0.0,1,1,1,34241.74,0
325,15793286,Customer_325,657,Spain,Female,75,6,133050.65,1,1,0,80102.85,0
326,15656701,Customer_326,754,Germany,Male,51,4,209105.1,2,0,0,19773.6,0
327,15586851,Customer_327,707,Germany,Female,60,0,0.0,1,1,0,28047.2,0
328,15771480,Customer_328,672,Germany,Female,28,6,185127.72,1,0,1,124746.69,1
329,15774396,Customer_329,791,France,Male,50,5,192363.48,1,1,0,126647.82,0
330,15745326,Customer_330,556,France,Female,75,6,86890.73,2,0,1,25496.45,1
331,15574819,Customer_331,644,France,Male,63,1,122088.45,1,1,0,170758.97,1
