battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1193,1,0.9,1,0,1,3,0.8,158,7,5,563,1692,277,12,8,10,1,0,1,0
1427,0,2.6,0,2,0,20,0.7,107,5,2,244,1264,1300,7,5,8,0,1,0,1
2312,0,2.7,1,2,1,11,0.2,128,2,4,188,1617,1197,16,13,16,0,0,0,1
1438,0,1.2,1,0,1,29,0.7,138,1,2,931,1163,1718,18,16,13,0,1,0,1
1283,0,2.0,0,4,0,10,0.8,138,3,4,1055,846,648,13,15,4,0,1,1,1
2730,1,1.5,1,14,1,22,0.4,105,5,17,1787,1217,1528,5,9,9,1,1,1,2
660,0,2.3,1,1,1,14,0.8,93,8,6,1368,641,912,12,12,13,1,0,0,0
4913,0,1.6,1,10,0,178,0.8,186,6,8,1059,1023,2334,11,6,7,0,1,0,3
3026,0,2.4,0,13,1,29,0.8,87,8,15,142,1542,1227,13,0,10,0,1,1,2
2411,0,2.3,0,9,1,42,0.7,175,1,17,925,713,2880,6,4,16,0,0,1,2
1116,1,1.2,1,1,0,3,0.4,180,4,7,1611,1087,442,13,3,4,1,0,0,0
609,1,1.2,0,0,0,6,0.5,129,7,3,671,1645,758,18,2,11,1,0,0,0
4109,0,2.3,1,6,0,91,0.2,106,8,14,1619,573,2061,18,2,16,1,1,1,3
1093,0,0.9,0,1,1,4,0.4,128,4,5,55,1538,864,18,9,5,1,0,0,0
1294,1,1.7,0,3,1,13,0.2,119,4,7,1041,1297,753,8,10,2,0,1,0,1
5297,1,0.9,1,16,1,195,0.5,150,5,11,518,1873,2476,12,16,14,0,0,0,3
2228,1,2.0,1,4,0,11,0.3,192,5,4,658,1860,1526,11,15,7,0,1,1,1
1505,0,0.6,1,1,1,27,0.3,198,3,2,1937,1674,1708,14,5,8,1,0,1,1
1231,1,1.7,0,1,0,8,0.2,84,6,5,653,564,1648,5,3,12,0,0,1,1
1262,1,2.8,1,0,0,15,0.3,113,4,7,724,1411,645,7,14,5,1,0,0,0
5351,0,0.8,0,6,1,231,0.8,139,4,13,160,974,2598,10,16,16,1,0,1,3
5711,0,2.5,1,7,1,214,1.0,124,4,20,968,1862,2984,15,10,13,1,0,0,3
1014,1,0.7,0,1,1,11,0.4,106,8,2,301,1355,453,8,5,16,1,1,0,0
2755,1,1.4,1,14,1,30,0.7,184,6,17,405,1248,1481,18,1,18,1,0,0,2
526,0,2.7,0,0,1,13,0.7,168,2,2,421,972,765,6,7,13,1,1,1,0
1743,1,2.0,1,2,0,21,0.4,172,2,7,73,1234,1935,12,15,12,0,1,1,1
5634,1,1.0,1,19,1,255,0.3,159,8,11,270,1776,3618,10,6,13,0,1,0,3
3268,0,2.2,0,18,1,60,0.8,160,1,10,836,744,1419,6,17,10,0,1,0,2
5239,0,0.9,0,8,1,132,0.3,193,7,11,1366,685,4086,9,1,7,1,1,1,3
1518,0,0.7,1,17,1,46,0.9,80,4,10,1138,1416,1830,9,10,12,0,0,1,2
572,0,1.4,1,2,0,4,0.1,188,4,5,843,1273,628,17,14,10,1,0,1,0
1634,0,2.4,0,5,0,28,0.5,101,5,11,1241,678,2976,10,11,17,1,0,1,2
2377,1,1.9,1,3,1,25,0.4,85,3,2,255,1381,1031,17,6,19,1,1,1,1
5049,1,1.2,1,11,1,169,0.3,122,3,10,1403,1439,2526,7,0,4,1,1,1,3
1709,0,0.7,1,8,1,29,0.8,173,4,11,156,1950,2246,18,11,17,1,0,0,2
4920,1,1.5,0,13,1,80,0.6,139,6,20,267,718,2721,15,4,17,1,0,1,3
4337,1,1.4,1,15,1,65,0.4,172,4,17,961,733,2622,10,16,3,0,1,1,3
1225,1,1.6,0,4,1,16,0.5,127,4,2,1195,780,653,6,5,9,1,0,1,1
3457,0,1.2,1,11,1,202,0.1,103,5,20,152,1839,2696,14,8,15,1,0,0,3
1460,1,2.2,1,0,1,15,0.9,131,1,6,448,1531,647,13,12,7,0,1,1,0
2893,0,2.9,1,19,1,30,0.9,155,8,19,548,845,1113,16,0,12,0,1,1,2
3142,0,2.9,0,8,1,62,0.6,81,5,13,771,1339,1856,7,0,5,0,1,1,2
1357,0,2.4,1,2,1,3,0.2,194,2,5,219,1903,821,17,0,8,0,1,1,0
1659,0,1.1,1,8,0,40,0.6,182,2,19,663,959,1042,12,17,15,0,1,0,2
1759,1,2.3,0,18,1,33,0.5,139,4,12,893,1311,1844,6,8,9,1,0,1,2
2244,1,1.6,1,4,0,21,0.9,179,7,3,303,1434,1880,5,13,5,1,0,0,1
1156,0,2.2,0,0,1,15,0.7,174,5,3,1514,1024,390,16,9,13,1,1,0,0
4549,1,2.4,1,19,1,202,0.4,188,1,11,1304,1235,2563,13,1,18,0,0,0,3
1086,1,0.6,1,0,0,9,0.7,142,2,5,1295,741,873,18,12,7,1,1,0,1
903,0,2.5,1,3,0,11,0.9,141,4,2,838,1849,752,16,16,8,1,1,0,0
3934,0,3.0,1,8,0,177,0.6,140,5,8,674,1177,2716,10,14,3,1,0,1,3
1020,1,2.8,1,3,1,10,0.9,180,5,5,387,1338,257,14,10,19,1,1,1,0
1055,0,2.5,0,3,0,30,0.6,162,1,4,1956,533,1011,9,9,2,0,1,1,1
3229,0,2.6,1,12,1,26,0.2,176,7,11,276,1256,1189,6,2,5,1,1,1,2
2761,1,1.0,1,15,1,241,0.4,165,8,19,803,1141,3602,9,16,19,0,1,0,3
4891,0,2.8,1,15,1,219,0.1,139,6,14,1246,1076,3740,14,0,7,1,1,0,3
2125,0,2.7,1,6,1,60,0.9,149,1,13,485,1007,1398,16,7,10,1,1,0,2
3161,1,1.0,1,7,1,214,0.8,93,6,14,1922,594,2125,10,0,5,1,0,1,3
1160,1,1.2,1,1,0,3,0.2,153,3,7,394,600,331,10,15,2,1,0,0,0
1219,0,1.7,1,4,1,13,0.2,199,8,4,808,1480,827,9,13,18,1,1,0,0
4869,1,2.0,0,16,1,174,0.4,141,3,8,1724,1363,2819,15,14,16,1,1,0,3
5158,0,2.6,1,18,1,71,0.9,164,4,20,868,815,2193,12,11,5,1,1,1,3
3946,1,1.8,0,7,1,44,0.7,182,7,13,741,576,2941,8,6,12,0,0,1,3
1346,1,2.6,1,4,0,2,0.9,182,1,7,1617,1123,819,16,14,19,0,0,1,0
613,1,2.7,0,3,1,14,0.9,88,5,4,465,1835,309,15,2,16,0,1,1,0
3492,1,1.0,1,9,1,46,0.2,140,6,15,1597,1164,3653,13,8,11,0,1,0,3
5886,1,1.1,1,12,1,164,0.9,156,2,19,1085,914,2048,9,1,11,0,1,1,3
1843,0,1.1,0,3,0,23,0.1,147,2,4,1527,1140,2040,7,8,18,0,0,0,1
2383,0,0.8,1,6,1,21,0.9,156,7,14,1744,676,1757,9,12,11,1,0,1,2
3622,1,2.1,1,11,1,102,0.6,179,1,13,1706,893,2727,10,1,16,0,0,0,3
3671,1,2.0,0,16,0,210,0.1,118,8,11,613,1628,2433,9,14,14,1,0,1,3
1858,1,2.6,0,3,1,15,0.4,134,2,2,297,1083,765,15,4,15,0,0,1,1
2415,0,1.5,0,1,0,29,0.6,167,1,6,1499,891,1666,9,3,14,0,1,0,1
765,1,3.0,1,0,1,11,0.8,119,7,7,1708,1599,947,15,11,7,1,0,0,0
2397,0,2.1,1,15,1,33,0.3,157,6,9,1560,1055,1485,13,8,19,1,0,0,2
1354,0,2.3,1,4,0,14,0.4,112,3,7,1955,1213,458,9,0,19,0,0,1,0
1395,1,2.6,0,1,0,16,0.7,126,5,6,1479,1798,530,17,13,4,0,1,1,1
1769,0,1.3,0,0,1,30,0.2,196,4,3,1641,814,640,10,8,5,1,0,0,1
1072,1,2.7,1,2,0,6,0.4,123,6,6,919,774,719,9,10,17,0,0,1,0
2118,1,2.0,1,0,0,9,0.6,137,2,5,530,1131,1065,8,13,16,1,1,0,1
1099,1,1.0,1,1,0,9,0.5,103,2,5,1727,921,774,6,8,13,0,0,0,1
2150,1,3.0,1,1,1,28,0.2,92,6,5,742,1696,932,15,2,9,0,0,1,1
3198,1,1.3,1,10,1,25,1.0,167,8,17,1315,1563,2609,6,12,11,1,1,0,2
3003,0,2.2,0,13,1,45,0.6,195,5,9,1405,961,1879,17,16,13,1,1,1,2
5893,0,0.8,1,15,1,189,0.9,114,8,15,875,1476,3454,9,11,9,1,1,1,3
1712,1,1.9,0,3,0,26,0.8,166,2,6,1118,1411,1281,16,5,18,0,1,0,1
1030,1,2.2,0,2,1,11,0.6,107,1,2,1422,913,990,7,3,6,1,0,0,0
2078,1,1.3,0,15,1,30,0.3,85,4,17,23,856,1080,18,3,15,0,0,0,2
1078,1,0.9,0,4,0,24,0.2,155,2,5,1844,1670,707,7,14,3,0,0,0,1
1412,0,0.8,1,1,0,15,0.5,133,1,6,1912,547,447,16,15,18,1,0,1,0
4877,1,2.1,0,19,0,164,0.3,102,1,13,795,1416,2920,9,7,12,0,1,0,3
4063,0,2.0,0,8,0,180,0.3,178,5,18,1280,1464,3106,15,14,11,0,1,0,3
3135,1,2.4,1,7,1,26,0.8,99,2,19,456,1908,1855,15,10,2,1,1,1,2
2538,1,1.2,0,8,1,32,0.2,185,4,15,389,1208,1407,17,1,15,1,1,1,2
629,0,1.3,0,4,1,8,0.4,99,2,2,461,1575,687,9,0,10,0,1,0,0
979,1,1.5,0,2,1,12,0.7,182,1,7,1479,1093,641,7,11,15,0,1,0,0
4648,1,1.2,0,18,1,222,0.8,108,3,17,1079,1788,3725,12,16,15,0,1,1,3
1119,1,1.5,1,2,0,8,0.3,162,5,2,1808,1706,1006,9,13,5,1,0,1,0
1573,0,2.6,0,2,1,11,0.4,194,8,4,148,1665,992,8,13,18,0,1,0,1
2194,1,0.9,0,12,1,36,0.7,184,4,12,1328,1899,1594,15,10,5,0,1,1,2
631,0,2.3,1,2,0,7,0.8,105,3,4,1413,753,535,8,15,14,0,0,1,0
4499,0,0.6,1,18,1,99,0.4,177,7,20,765,934,2749,5,10,17,0,1,0,3
5604,0,2.2,1,15,1,160,1.0,153,2,8,939,1137,2939,8,14,18,0,1,0,3
1751,1,2.5,0,3,1,10,0.8,184,2,6,775,1313,813,14,5,15,0,1,1,1
1136,1,2.9,1,4,0,14,0.7,81,1,5,1951,1555,893,16,15,19,1,1,0,1
1806,0,1.4,0,2,0,21,0.6,91,5,4,440,1116,742,17,3,6,1,1,0,1
2579,1,1.7,1,14,0,61,0.2,192,5,18,1889,1438,1551,13,14,16,0,0,0,2
4921,1,2.9,0,18,1,77,0.4,80,2,12,1591,1455,3768,5,10,3,1,1,0,3
4561,1,2.9,0,17,1,61,0.3,112,8,12,288,1871,3955,16,5,13,1,0,0,3
3081,1,1.6,0,11,1,138,0.5,138,6,16,1484,1842,2846,18,9,15,1,1,0,3
3963,0,0.9,0,5,0,125,0.2,133,4,20,254,1521,4012,16,9,14,0,1,1,3
1801,0,2.0,1,18,1,57,0.3,192,4,9,1700,1660,1389,12,12,13,1,0,0,2
946,0,1.9,0,3,0,10,0.3,109,2,4,233,1810,509,15,7,12,1,0,1,0
5791,0,2.6,0,5,1,74,0.5,82,6,14,419,1899,3580,7,1,8,0,0,1,3
1779,0,1.9,1,3,1,19,0.9,100,5,3,375,1610,1105,5,16,14,0,1,1,1
5939,0,2.1,0,10,0,88,0.4,180,4,19,387,1402,4067,9,2,11,0,0,0,3
1507,1,0.9,1,2,0,20,0.8,112,6,4,1459,514,1201,12,8,16,1,0,1,1
1667,1,1.7,1,3,0,23,0.4,97,2,7,1155,606,1920,13,16,13,0,1,1,1
2091,1,0.8,0,12,1,61,0.8,106,3,12,1009,947,3010,10,8,18,1,0,1,2
833,0,1.3,0,4,0,5,0.2,171,4,5,1493,1683,985,6,9,8,1,0,1,0
897,1,1.8,1,1,0,4,0.2,115,8,5,876,855,390,11,9,16,0,0,1,0
2396,0,1.1,0,8,1,77,0.6,177,7,15,1959,1042,2782,6,13,15,1,0,1,3
2405,0,0.7,0,3,1,13,0.2,154,2,2,1039,524,1236,16,7,7,1,0,1,1
1611,0,0.9,1,0,0,8,0.8,176,1,3,712,591,1655,7,9,8,0,1,0,1
3368,1,0.6,1,17,0,51,0.4,137,8,13,152,762,2916,8,8,7,1,0,0,2
1485,0,0.7,1,2,0,12,0.5,111,7,5,912,1807,482,7,17,5,1,1,0,0
613,1,2.4,1,4,0,7,0.5,121,4,5,797,1876,898,5,4,5,0,1,0,0
2387,1,0.6,1,2,1,23,0.5,117,2,5,27,1480,1331,13,9,7,1,0,1,1
3613,1,2.0,0,17,1,120,0.9,123,2,19,1415,1739,2596,15,14,19,0,0,1,3
2435,1,1.2,0,2,0,29,0.2,179,1,5,178,1017,1548,6,12,4,0,0,1,1
4197,0,0.7,0,14,1,186,0.8,89,2,9,1195,1760,2835,18,1,18,0,1,0,3
2260,0,0.8,1,2,0,14,0.5,195,3,6,523,1267,1051,8,8,6,1,0,1,1
1238,1,0.8,1,4,0,21,0.5,81,5,7,1266,1834,1525,18,2,9,1,0,1,1
1053,0,0.6,1,0,1,7,0.6,153,8,5,70,1605,754,15,6,15,0,0,0,0
2839,0,1.7,1,12,0,18,0.8,165,8,20,1356,510,1371,14,7,11,0,1,1,2
4966,1,1.1,1,9,0,79,0.3,158,5,19,1535,640,4006,11,10,11,1,0,1,3
2231,1,2.5,1,5,1,49,0.4,93,1,10,641,516,1966,16,2,16,1,0,0,2
2268,0,2.5,0,9,1,40,0.8,129,8,11,1067,591,3538,18,9,2,1,1,0,3
2148,1,2.6,0,15,1,51,0.5,90,2,9,1386,769,1537,15,15,15,0,0,1,2
543,0,1.9,1,4,1,15,0.3,113,4,3,861,1443,523,5,6,11,1,1,0,0
3555,0,1.5,0,14,1,65,0.5,136,7,20,1453,795,2220,13,2,11,1,1,1,3
2972,1,2.8,0,19,1,36,0.7,180,8,20,1238,1210,1755,12,1,15,0,1,1,2
1285,0,1.6,0,1,0,21,0.4,118,3,6,247,862,1855,7,2,18,0,0,0,1
2857,1,2.1,1,11,1,149,0.7,153,8,9,605,1259,2672,14,0,9,1,1,1,3
2208,1,2.5,1,6,1,202,0.2,173,5,10,541,752,2219,8,0,13,1,1,1,3
854,0,1.8,0,0,0,8,0.2,195,3,3,533,513,655,17,12,4,0,1,1,0
1759,1,2.6,0,16,0,39,0.6,186,3,20,453,609,2305,15,6,8,0,0,1,2
1893,1,1.4,1,2,0,27,0.1,149,6,6,598,918,1816,18,2,6,1,0,0,1
2698,1,1.5,1,17,0,48,0.6,184,6,8,155,1242,1882,15,14,13,1,0,0,2
2463,0,2.6,0,4,0,10,0.6,151,3,5,1659,1754,1849,9,2,4,1,0,1,1
3512,0,1.9,1,8,1,222,0.5,123,1,15,1408,1112,3166,18,10,2,0,0,0,3
1802,0,2.3,1,6,1,16,0.9,165,2,9,1889,1129,1998,12,8,4,1,1,1,2
1136,0,1.5,1,1,0,8,0.8,84,8,7,304,1656,1646,13,5,7,0,1,1,1
2806,1,1.0,0,14,1,115,0.8,171,2,17,1381,1152,3968,5,12,17,0,1,1,3
1606,1,2.6,1,10,1,60,0.6,184,8,8,166,600,1243,13,7,3,1,0,1,2
1037,1,2.8,1,2,0,28,0.9,189,5,4,1411,627,1548,15,3,8,0,0,1,1
1834,0,1.2,0,2,1,9,0.7,198,6,7,1658,1555,1403,14,8,16,1,0,1,1
2769,1,2.1,0,7,1,126,1.0,184,6,20,407,1059,3493,5,17,12,0,1,0,3
3415,0,2.1,1,13,1,87,0.2,180,4,11,1535,867,2815,11,2,19,1,1,0,3
2051,1,2.4,1,15,1,54,1.0,132,5,20,717,727,2751,7,9,9,0,0,0,2
1722,1,2.8,1,5,1,32,0.5,103,7,12,333,1131,1639,8,17,7,0,1,1,2
2442,0,2.1,1,0,1,11,0.5,173,8,5,70,1895,1057,16,6,6,0,0,1,1
1455,0,1.5,1,0,0,7,0.6,119,5,6,1202,1171,896,17,1,2,0,1,0,0
2768,0,0.5,0,15,1,32,0.2,145,8,13,1434,755,2255,10,3,8,0,0,0,2
1130,0,1.3,1,2,0,6,0.6,127,5,3,892,1697,308,12,9,14,0,1,0,0
570,0,1.6,1,3,0,4,0.1,174,6,2,1375,783,422,6,17,8,0,1,1,0
1013,1,2.3,1,2,0,3,0.5,198,5,3,1096,884,889,18,0,4,1,0,0,0
2239,0,2.4,0,6,1,47,0.4,119,7,11,192,1395,1681,15,15,18,1,0,1,2
2383,0,0.7,0,0,1,13,0.7,169,8,5,1692,1150,1209,7,4,3,1,0,1,1
1475,0,1.6,0,4,0,8,0.5,189,1,3,1222,1627,1917,13,17,18,0,0,0,1
3295,1,2.0,1,18,0,90,0.7,119,5,10,953,1347,3956,7,6,2,1,1,0,3
2754,1,1.1,0,7,0,153,0.6,187,6,18,1739,1829,3856,9,8,14,0,1,1,3
1287,0,1.6,1,1,0,20,0.2,186,4,7,1294,1186,1289,8,10,15,0,0,1,1
661,0,2.8,0,4,1,7,0.4,133,1,3,1056,794,811,16,13,17,1,1,1,0
1057,1,2.5,1,1,1,17,0.9,161,5,3,348,1397,694,14,4,14,1,1,1,1
1367,1,1.5,0,1,0,4,0.8,114,3,2,1198,841,398,13,17,16,0,1,0,0
578,1,1.8,1,0,0,11,0.8,174,4,5,1172,1116,502,16,10,9,1,1,1,0
2980,1,2.4,1,6,1,22,0.4,145,4,18,1923,700,2159,16,10,15,1,1,1,2
2887,1,2.2,0,12,1,56,0.3,85,7,18,1850,1450,2699,5,2,15,1,0,0,2
2994,1,2.6,1,19,0,53,0.7,161,6,19,1764,731,2434,15,17,5,1,1,1,2
971,1,2.6,1,2,0,9,0.6,129,2,2,511,1414,641,8,6,2,1,0,1,0
5388,0,0.7,0,14,0,144,0.2,109,2,18,720,1549,3774,7,7,7,1,0,1,3
1381,0,2.2,0,3,0,6,0.6,110,6,3,688,1394,764,13,13,16,1,0,1,0
1331,1,2.3,1,2,1,14,0.6,93,7,4,1715,760,264,8,8,10,0,0,0,0
1151,1,0.8,1,3,0,15,0.8,118,5,5,719,1642,1000,13,0,3,0,0,0,0
2030,1,1.2,0,4,0,9,0.4,166,2,5,229,1722,881,15,11,12,0,1,1,1
5645,1,2.2,1,12,1,72,0.3,184,8,16,1879,1775,3130,10,16,18,1,0,1,3
2687,1,0.7,0,17,1,54,0.3,149,4,9,534,1896,1346,15,11,13,1,0,1,2
1053,1,2.8,0,4,0,5,0.5,164,2,4,773,1488,767,5,12,5,0,1,1,0
1129,0,2.0,1,4,1,8,0.1,194,6,4,879,1177,609,9,8,4,1,0,1,0
2778,0,0.9,1,7,1,28,0.9,139,4,11,959,1159,1394,10,11,17,1,0,1,2
1098,1,1.9,0,1,1,24,0.5,119,7,4,1519,1716,772,6,9,10,1,0,1,1
1250,0,0.8,0,3,0,11,0.4,104,3,7,1540,1082,932,12,11,12,0,1,0,0
2483,1,2.9,0,0,0,24,0.2,158,1,5,471,1430,2006,13,0,11,0,0,0,1
2888,1,2.8,1,12,1,33,0.9,161,2,19,941,1034,1658,6,6,15,0,1,0,2
3430,1,2.5,0,7,1,166,0.8,183,2,19,1430,1239,3797,11,3,3,1,0,1,3
5374,0,1.0,0,19,1,209,0.8,132,2,14,1515,620,3021,18,5,8,0,1,1,3
941,0,1.5,0,1,0,10,0.6,171,7,5,1744,1815,868,12,4,3,0,1,0,0
785,0,2.9,1,1,1,8,1.0,94,8,4,45,1747,270,10,17,9,1,1,1,0
2611,1,0.6,0,16,1,249,0.8,83,8,9,1420,1850,3079,15,0,18,1,0,0,3
1192,0,1.1,1,2,0,11,0.3,198,3,7,1320,1929,359,14,5,11,0,1,1,0
4525,1,1.8,0,17,1,140,0.3,162,3,11,762,810,3164,9,8,17,1,1,1,3
718,0,2.8,0,0,1,14,0.7,123,4,4,43,1513,368,7,6,11,1,1,1,0
5755,1,2.7,0,5,1,65,0.9,186,6,11,546,616,3579,7,2,8,0,1,0,3
2997,1,2.8,1,18,1,38,0.5,106,8,9,955,1316,2485,6,16,10,1,1,1,2
3297,0,2.2,0,12,1,253,0.7,150,3,15,1319,986,3920,6,16,14,0,1,1,3
840,0,2.8,0,0,1,6,0.4,111,4,5,1595,809,532,7,1,4,1,0,1,0
2194,1,1.8,1,14,1,33,0.8,101,4,9,1387,823,2944,14,3,11,0,0,0,2
1089,1,1.4,0,4,0,26,0.5,135,6,7,1135,1323,1342,7,15,14,1,0,1,1
3383,1,2.4,0,6,1,27,0.6,106,7,12,561,729,1276,8,17,14,0,0,0,2
1462,1,2.2,1,4,0,8,0.8,178,4,5,637,1550,1894,15,0,13,0,0,0,1
1928,0,2.9,1,3,1,27,0.5,103,4,6,168,1860,1172,7,5,10,1,0,1,1
5312,1,2.0,0,12,1,212,0.9,94,7,8,1055,1833,3068,12,17,18,1,1,1,3
1052,0,1.0,0,4,0,15,0.1,83,2,3,995,1531,660,17,13,17,1,0,1,1
1625,1,1.3,0,4,0,26,0.9,154,4,5,717,1261,586,7,1,4,1,1,0,1
2955,1,1.7,1,19,1,29,0.9,99,5,20,1311,563,1406,6,17,5,0,1,0,2
901,1,1.0,0,2,0,5,1.0,182,6,4,619,1624,634,13,0,15,1,0,0,0
1114,0,2.8,1,0,1,13,0.6,87,4,5,1594,1353,643,15,11,13,0,0,0,1
3757,0,2.9,1,8,0,144,0.7,147,5,9,492,1205,3165,13,3,17,1,0,0,3
2159,1,1.8,1,4,0,10,0.4,195,3,2,763,912,1928,12,1,11,1,0,1,1
3209,0,1.0,1,7,1,21,0.5,121,2,16,1439,846,1925,12,9,17,0,1,1,2
2540,0,2.0,0,5,1,48,0.2,181,6,12,601,1275,1435,18,16,10,0,1,1,2
1011,0,1.4,0,3,0,10,0.2,159,7,5,1110,1027,359,7,2,4,1,1,0,0
2482,1,1.8,0,6,1,40,0.2,140,4,14,1444,1555,2740,10,9,8,1,0,1,2
1423,0,0.8,0,4,0,4,0.9,109,4,4,34,780,409,16,13,2,1,0,0,0
3146,0,3.0,1,12,1,42,0.7,139,3,14,571,1768,1193,5,8,6,0,0,1,2
1712,0,2.3,1,7,1,63,0.9,150,2,14,1785,1950,2120,14,15,10,0,1,1,2
2252,1,1.4,1,2,1,29,0.7,175,1,4,450,1642,1109,10,2,10,0,1,1,1
2035,1,0.8,1,4,0,26,0.5,177,5,2,437,1687,904,8,9,5,1,1,0,1
3947,1,2.0,1,12,1,54,0.8,92,2,17,1225,517,3937,11,2,11,0,1,1,3
2310,1,2.2,0,10,1,50,0.5,157,1,9,434,1809,3039,14,10,13,0,0,0,2
627,0,2.0,1,4,0,3,0.2,149,1,7,671,1204,417,17,17,12,1,1,1,0
4628,0,1.1,1,8,1,230,0.2,153,2,16,1608,852,2126,9,14,2,0,0,1,3
728,0,0.6,1,1,1,6,0.3,152,8,5,1329,1026,816,18,6,4,1,1,1,0
4776,0,2.5,0,5,1,220,0.4,176,2,16,1165,1637,2344,11,14,16,1,1,0,3
3244,1,1.3,0,13,1,44,0.5,108,1,17,690,696,1583,15,4,4,1,0,0,2
5899,0,2.4,0,11,1,93,0.2,145,2,14,211,1647,3820,16,11,16,0,1,0,3
1376,1,0.8,0,2,0,6,0.9,92,6,7,63,1915,802,15,6,17,0,0,0,0
772,0,0.6,1,3,0,8,0.4,112,2,5,493,1810,954,12,0,12,0,1,0,0
544,1,1.3,1,1,0,13,0.6,105,5,5,565,937,863,14,9,18,1,1,1,0
3303,1,1.2,1,6,1,31,0.3,172,5,10,988,688,2150,18,13,11,1,1,1,2
1716,0,1.1,1,14,1,62,1.0,194,5,18,1511,825,2351,14,15,8,1,1,1,2
3706,0,2.7,0,10,0,39,0.8,99,7,12,445,1369,2372,14,4,11,1,0,0,3
1095,0,1.8,1,0,1,7,0.8,189,8,7,251,1919,596,16,6,17,1,1,0,0
2763,1,3.0,1,16,1,130,0.8,146,7,19,224,839,2238,17,1,12,0,0,1,3
2096,0,0.8,0,7,1,137,0.1,151,5,12,1313,1059,4056,14,13,11,0,0,0,3
4697,1,2.9,0,16,1,167,0.2,138,4,17,962,791,3461,10,11,2,1,0,0,3
1554,1,2.1,0,4,0,28,0.7,124,1,2,739,762,532,16,7,3,0,0,0,1
643,1,1.4,0,4,1,15,0.3,175,1,6,1511,1472,699,14,16,10,0,0,1,0
2527,1,1.2,1,13,1,40,0.9,155,2,20,1691,1295,2881,18,0,14,0,0,0,2
1066,1,2.1,1,2,0,9,0.4,94,6,7,808,1898,336,5,11,12,0,0,0,0
5002,0,1.8,0,11,0,80,1.0,169,7,19,975,545,2357,18,3,5,1,1,1,3
2299,1,1.5,1,19,1,36,0.9,164,5,17,886,597,1744,6,14,5,0,1,0,2
1976,0,1.2,0,3,1,14,0.2,160,2,7,941,1402,1226,13,0,14,0,1,0,1
